Episode,RL_Agent,Bot 60/40,Epsilon
500,2.80,48.50,0.786214
1000,2.20,48.40,0.614397
1500,1.00,49.30,0.488432
2000,0.20,49.60,0.390899
2500,0.00,49.90,0.316495
3000,0.20,49.90,0.257826
3500,0.40,49.70,0.210705
4000,0.00,50.00,0.174675
4500,0.20,49.90,0.145226
5000,0.00,50.00,0.120880
5500,0.20,49.90,0.100483
6000,0.00,50.00,0.084025
6500,0.00,50.00,0.070275
7000,0.00,50.00,0.059070
7500,0.00,50.00,0.049719
8000,0.00,50.00,0.041810
8500,0.20,49.90,0.035118
9000,0.00,50.00,0.029688
9500,0.00,50.00,0.025085
10000,0.00,50.00,0.021187
10500,0.00,50.00,0.017836
11000,0.00,50.00,0.015069
11500,0.00,50.00,0.012772
12000,0.00,50.00,0.010797
12500,0.00,50.00,0.010000
13000,0.00,50.00,0.010000
13500,0.00,50.00,0.010000
14000,0.00,50.00,0.010000
14500,0.00,50.00,0.010000
15000,0.00,50.00,0.010000
15500,0.00,50.00,0.010000
16000,0.00,50.00,0.010000
16500,0.00,50.00,0.010000
17000,0.00,50.00,0.010000
17500,0.00,50.00,0.010000
18000,0.00,50.00,0.010000
18500,0.00,50.00,0.010000
19000,0.00,50.00,0.010000
19500,0.00,50.00,0.010000
20000,0.00,50.00,0.010000
20500,0.00,50.00,0.010000
21000,0.00,50.00,0.010000
21500,0.00,50.00,0.010000
22000,0.00,50.00,0.010000
22500,0.00,50.00,0.010000
23000,0.00,50.00,0.010000
23500,0.00,50.00,0.010000
24000,0.00,50.00,0.010000
24500,0.00,50.00,0.010000
25000,0.00,50.00,0.010000
25500,0.00,50.00,0.010000
26000,0.00,50.00,0.010000
26500,0.00,50.00,0.010000
27000,0.00,50.00,0.010000
27500,0.00,50.00,0.010000
28000,0.00,50.00,0.010000
28500,0.00,50.00,0.010000
29000,0.00,50.00,0.010000
29500,0.00,50.00,0.010000
30000,0.00,50.00,0.010000
30500,0.00,50.00,0.010000
31000,0.00,50.00,0.010000
31500,0.00,50.00,0.010000
32000,0.00,50.00,0.010000
32500,0.00,50.00,0.010000
33000,0.00,50.00,0.010000
33500,0.00,50.00,0.010000
34000,0.00,50.00,0.010000
34500,0.00,50.00,0.010000
35000,0.00,50.00,0.010000
35500,0.00,50.00,0.010000
36000,0.00,50.00,0.010000
36500,0.00,50.00,0.010000
37000,0.00,50.00,0.010000
37500,0.00,50.00,0.010000
38000,0.00,50.00,0.010000
38500,0.00,50.00,0.010000
39000,0.00,50.00,0.010000
39500,0.00,50.00,0.010000
40000,0.00,50.00,0.010000
40500,0.00,50.00,0.010000
41000,0.00,50.00,0.010000
41500,0.00,50.00,0.010000
42000,0.00,50.00,0.010000
42500,0.00,50.00,0.010000
43000,0.00,50.00,0.010000
43500,0.00,50.00,0.010000
44000,0.00,50.00,0.010000
44500,0.00,50.00,0.010000
45000,0.00,50.00,0.010000
45500,0.00,50.00,0.010000
46000,0.00,50.00,0.010000
46500,0.00,50.00,0.010000
47000,0.00,50.00,0.010000
47500,0.00,50.00,0.010000
48000,0.00,50.00,0.010000
48500,0.00,50.00,0.010000
49000,0.00,50.00,0.010000
49500,0.00,50.00,0.010000
50000,0.00,50.00,0.010000
